"App","PageComponent","PageRoute","PageFile","ServiceFunction"
"console","AccountsPage","/accounts","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\AccountsPage.tsx","getAccounts"
"console","AccountsPage","/accounts","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\AccountsPage.tsx","updateAccountRole"
"console","AuditLogPage","/audit","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\AuditLogPage.tsx","getAuditLog"
"console","DashboardPage","* | /","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\DashboardPage.tsx","getDashboard"
"console","DeviceDetailPage","/devices/:deviceId","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\DeviceDetailPage.tsx","blockDevice"
"console","DeviceDetailPage","/devices/:deviceId","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\DeviceDetailPage.tsx","getDeviceDetail"
"console","DeviceDetailPage","/devices/:deviceId","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\DeviceDetailPage.tsx","unblockDevice"
"console","DevicesPage","/devices","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\DevicesPage.tsx","getDevices"
"console","FeatureRolloutsPage","/features","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\FeatureRolloutsPage.tsx","disableFeature"
"console","FeatureRolloutsPage","/features","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\FeatureRolloutsPage.tsx","getFeatureOverrides"
"console","FeatureRolloutsPage","/features","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\FeatureRolloutsPage.tsx","upsertFeatureOverride"
"console","LicensesPage","/licenses","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\LicensesPage.tsx","blockLicense"
"console","LicensesPage","/licenses","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\LicensesPage.tsx","generateLicenses"
"console","LicensesPage","/licenses","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\LicensesPage.tsx","getLicenses"
"console","LicensesPage","/licenses","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\LicensesPage.tsx","revokeLicense"
"console","LicensesPage","/licenses","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\LicensesPage.tsx","unblockLicense"
"console","NotificationsPage","/notifications","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\NotificationsPage.tsx","getNotifications"
"console","NotificationsPage","/notifications","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\NotificationsPage.tsx","markNotificationRead"
"console","PlansPage","/plans","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\PlansPage.tsx","getPlans"
"console","PlansPage","/plans","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\PlansPage.tsx","upsertPlan"
"console","ServerPage","/server","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\ServerPage.tsx","getContainers"
"console","ServerPage","/server","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\ServerPage.tsx","getHostInfo"
"console","TelemetryPage","/telemetry","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\TelemetryPage.tsx","getTelemetry"
"console","TelemetryPage","/telemetry","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\TelemetryPage.tsx","getTelemetryChart"
"home","page","/account/billing","C:\Users\Calvin\Documents\PCWächter\server\home\src\app\account\billing\page.tsx","LOCAL:/api/portal"
"home","page","/account","C:\Users\Calvin\Documents\PCWächter\server\home\src\app\account\page.tsx","getLicenseStatus"
"home","route","unknown","C:\Users\Calvin\Documents\PCWächter\server\home\src\app\api\checkout\route.ts","getPlans"
"home","route","unknown","C:\Users\Calvin\Documents\PCWächter\server\home\src\app\api\license-status\route.ts","getLicenseStatus"
"home","PricingTable","unknown","C:\Users\Calvin\Documents\PCWächter\server\home\src\components\PricingTable.tsx","LOCAL:/api/checkout"
"home","api","unknown","C:\Users\Calvin\Documents\PCWächter\server\home\src\lib\api.ts","getLicenseStatus"
"home","api","unknown","C:\Users\Calvin\Documents\PCWächter\server\home\src\lib\api.ts","getPlans"
